Invoice/Item Number,Date,Store Name,Address,City,Zip Code,County,Category Name,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,Bottles Sold,Sale,Volume Sold (Liters)
INV-43587100012,2022-01-06,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POLK,TEMPORARY & SPECIALTY PACKAGES,constellation brands inc,101587,high west old fashion and manhattan cocktail gift pack,375.0,14.0,6,126.0,2.25
INV-43534900064,2022-01-05,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010,STORY,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,36903,MCCORMICK 80PRF VODKA,200.0,1.13,6,10.2,1.2
INV-43818500055,2022-01-14,HY-VEE FOOD STORE #1 / OTTUMWA,1025 NORTH QUINCY AVE,OTTUMWA,52501,WAPELLO,WHITE RUM,E & J GALLO WINERY,66518,RUMHAVEN,750.0,8.5,4,51.0,3.0
INV-43744600117,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,AMERICAN CORDIALS & LIQUEUR,sazerac company  inc,73986,di amore amaretto,750.0,6.0,6,54.0,4.5
INV-43753300142,2022-01-13,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,STRAIGHT BOURBON WHISKIES,SAZERAC COMPANY  INC,21597,TEN HIGH,1000.0,4.94,120,889.2,120.0
INV-43744600007,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,CANADIAN WHISKIES,diageo americas,10790,crown royal vanilla,375.0,8.0,2,24.0,0.75
INV-43786000071,2022-01-14,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,DUBUQUE,AMERICAN CORDIALS & LIQUEUR,LUXCO INC,79336,PARAMOUNT CREME DE MENTHE GREEN,750.0,5.0,12,90.0,9.0
INV-43771600077,2022-01-13,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,CREAM LIQUEURS,bedford & grove llc/ chankaska creek and ranch winery,72981,north forest kreme maple bourbon pecan,750.0,15.39,3,69.27,2.25
INV-43745900012,2022-01-12,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360,DICKINSON,TENNESSEE WHISKIES,brown forman corp.,26820,jack daniels old #7 black label flat,375.0,,6,69.78,2.25
INV-43495700055,2022-01-03,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,AMERICAN FLAVORED VODKA,e & j gallo winery,36618,new amsterdam raspberry,750.0,7.5,12,135.0,9.0
INV-43469500020,2022-01-03,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,STRAIGHT BOURBON WHISKIES,FOUR ROSES DISTILLERY,18352,FOUR ROSES BOURBON,750.0,,36,675.0,27.0
INV-43766100168,2022-01-13,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,AMERICAN VODKAS,E & J GALLO WINERY,36968,NEW AMSTERDAM 80PRF,375.0,,2,10.5,0.75
INV-43830400078,2022-01-17,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,AMERICAN FLAVORED VODKA,diageo americas,77740,smirnoff raspberry,750.0,8.25,3,37.14,2.25
INV-43534900120,2022-01-05,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010,STORY,AMERICAN CORDIALS & LIQUEUR,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75263,KINKY FRUIT PUNCH MINI,50.0,4.9,6,44.1,0.3
INV-43725600099,2022-01-12,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,JOHNSON,IMPORTED VODKAS,pernod ricard usa,34008,absolut swedish vodka 80prf,,19.99,6,179.94,10.5
INV-43575900048,2022-01-06,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,IMPORTED VODKAS,pernod ricard usa,34008,absolut swedish vodka 80prf,,19.99,6,179.94,10.5
INV-43766100035,2022-01-13,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,CANADIAN WHISKIES,HEAVEN HILL BRANDS,11777,BLACK VELVET,1000.0,6.63,12,119.4,12.0
INV-43483600079,2022-01-03,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,MUSCATINE,AMERICAN VODKAS,mississippi river distil,37642,river pilot vodka,750.0,8.25,1,12.38,0.75
INV-43592600075,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,IMPORTED DRY GINS,DIAGEO AMERICAS,28866,TANQUERAY GIN,750.0,13.5,4,81.0,3.0
INV-43490800030,2022-01-03,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,AMERICAN VODKAS,e & j gallo winery,36969,new amsterdam 80prf,750.0,7.5,2,22.5,1.5
INV-43720300103,2022-01-12,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,POLK,AMERICAN CORDIALS & LIQUEUR,ia-native spirits,75372,lemoncello 50010,750.0,12.49,6,112.44,4.5
INV-43721600106,2022-01-12,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,STORY,IRISH WHISKIES,PERNOD RICARD USA,65416,JAMESON COLD BREW,750.0,16.49,12,296.88,9.0
INV-43575900050,2022-01-06,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,IMPORTED FLAVORED VODKA,pernod ricard usa,34036,absolut pears,750.0,9.99,3,44.97,2.25
INV-43844200129,2022-01-17,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,AMERICAN SCHNAPPS,luxco inc,82187,arrow spearmint schnapps,1000.0,5.0,2,15.0,2.0
INV-43748800069,2022-01-12,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,MARION,AMERICAN CORDIALS & LIQUEUR,sazerac company  inc,37305,perma frost schnapps mini,50.0,4.3,2,12.9,0.1
INV-43821400061,2022-01-14,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501,WEBSTER,AMERICAN SCHNAPPS,JIM BEAM BRANDS,82840,DEKUYPER LUSCIOUS PEACHTREE PET,750.0,6.5,12,117.0,9.0
INV-43779300104,2022-01-13,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,WOODBURY,AMERICAN CORDIALS & LIQUEUR,sazerac company  inc,73986,di amore amaretto,750.0,6.0,36,324.0,27.0
INV-43748800001,2022-01-12,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,MARION,STRAIGHT BOURBON WHISKIES,diageo americas,17086,bulleit bourbon,750.0,16.5,36,891.0,27.0
INV-43506400113,2022-01-04,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,MARSHALL,COCKTAILS /RTD,proximo,59192,1800 ultimate black cherry margarita pet,1750.0,10.04,6,90.36,10.5
INV-43592600095,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,SPICED RUM,DIAGEO AMERICAS,43244,CAPTAIN MORGAN 100PRF SPICED RUM,750.0,,5,78.7,3.75
INV-43793900006,2022-01-14,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,DES MOINES,CANADIAN WHISKIES,DIAGEO AMERICAS,11298,CROWN ROYAL,1750.0,32.99,6,296.94,10.5
INV-43696000004,2022-01-11,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,CARROLL,TENNESSEE WHISKIES,brown forman corp.,86669,jack daniels tennessee honey,375.0,7.75,10,116.3,3.75
INV-43479900033,2022-01-03,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,AMERICAN CORDIALS & LIQUEUR,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75210,KINKY PINK,750.0,10.0,6,90.0,4.5
INV-43495700100,2022-01-03,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,STRAIGHT BOURBON WHISKIES,jim beam brands,19477,makers mark,1000.0,22.5,6,202.5,6.0
INV-43721400110,2022-01-12,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,POLK,CANADIAN WHISKIES,diageo americas,10809,crown royal regal apple,1750.0,32.99,6,296.94,10.5
INV-43551500035,2022-01-05,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,SCOTT,AMERICAN VODKAS,PHILLIPS BEVERAGE,37356,PHILLIPS VODKA,750.0,3.57,12,64.32,9.0
INV-43555700057,2022-01-05,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,BLENDED WHISKIES,diageo americas,25608,seagrams 7 crown,1750.0,12.96,12,233.28,21.0
INV-43830400094,2022-01-17,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,100% AGAVE TEQUILA,proximo,89206,1800 reposado,750.0,15.98,6,143.82,4.5
INV-43830400072,2022-01-17,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,CREAM LIQUEURS,diageo americas,68034,baileys original irish cream,375.0,8.49,3,38.22,1.12
INV-43766100162,2022-01-13,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,STRAIGHT BOURBON WHISKIES,DIAGEO AMERICAS,17085,BULLEIT BOURBON,375.0,,3,35.97,1.12
INV-43584100049,2022-01-06,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,CREAM LIQUEURS,e & j gallo winery,73053,rumchata,1000.0,17.0,6,153.0,6.0
INV-43541400049,2022-01-05,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,100% AGAVE TEQUILA,"mast-jagermeister us, inc",88371,teremana blanco tequila,,14.94,6,134.46,4.5
INV-43779300072,2022-01-13,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,WOODBURY,AMERICAN VODKAS,sazerac company  inc,35317,barton vodka,1000.0,3.97,36,214.56,36.0
INV-43525100085,2022-01-04,HY-VEE WINE AND SPIRITS / WATERLOO,2126 KIMBALL AVE,WATERLOO,50701,BLACK HAWK,MIXTO TEQUILA,proximo,89197,jose cuervo especial reposado,1000.0,13.5,3,60.75,3.0
INV-43769900083,2022-01-13,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,CERRO GORD,COCKTAILS /RTD,sazerac company  inc,57161,chi-chi's churro,1750.0,6.5,1,9.75,1.75
INV-43501900071,2022-01-04,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,SCOTT,IMPORTED DRY GINS,pernod ricard usa,28086,beefeater gin,750.0,11.49,12,206.88,9.0
INV-43501900211,2022-01-04,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,SCOTT,FLAVORED RUM,heaven hill brands,43986,admiral nelson cherry spiced,1750.0,11.55,3,51.99,5.25
INV-43541400026,2022-01-05,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,CANADIAN WHISKIES,heaven hill brands,10548,black velvet toasted caramel,1750.0,10.45,6,94.08,10.5
INV-43744600043,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,STRAIGHT BOURBON WHISKIES,jim beam brands,27781,jim beam apple,100.0,1.4,48,100.8,4.8
INV-43758100089,2022-01-13,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,AGED DARK RUM,diageo americas,42777,ron zacapa 23yr,750.0,22.5,2,67.5,1.5
INV-43582800003,2022-01-06,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,CERRO GORD,AMERICAN VODKAS,diageo americas,78293,smirnoff peach lemonade,750.0,8.25,12,148.56,9.0
INV-43763700116,2022-01-13,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,IMPORTED CORDIALS & LIQUEURS,campari america,64996,frangelico liqueur,750.0,15.5,3,69.75,2.25
INV-43732300039,2022-01-12,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,100% AGAVE TEQUILA,DV SPIRITS LLC,88413,CAMPO BRAVO PLATA TEQUILA,750.0,11.0,6,99.0,4.5
INV-43584100101,2022-01-06,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,BLENDED WHISKIES,mhw ltd,87013,blackened whiskey,750.0,25.63,3,115.35,2.25
INV-43737500037,2022-01-12,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,AMERICAN CORDIALS & LIQUEUR,prestige wine & spirits group / united states distilled products co,75208,kinky pink mini,50.0,4.84,4,29.04,0.2
INV-43758100068,2022-01-13,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,IMPORTED VODKAS,constellation brands inc,37302,svedka cherry limeade vodka,750.0,8.0,4,48.0,3.0
INV-43534900073,2022-01-05,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010,STORY,AMERICAN VODKAS,FIFTH GENERATION INC,38177,TITOS HANDMADE VODKA,1000.0,12.67,60,1140.6,60.0
INV-43576700033,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,STRAIGHT RYE WHISKIES,jim beam brands,27066,old overholt rye,750.0,11.54,2,34.62,1.5
INV-43554800083,2022-01-05,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632,LEE,AMERICAN BRANDIES,heaven hill brands,52317,christian bros brandy square,1000.0,7.13,3,32.1,3.0
INV-43592600056,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,IRISH WHISKIES,PHILLIPS BEVERAGE,15582,FINAGRENS IRISH WHISKEY,750.0,10.07,7,105.77,5.25
INV-43585000049,2022-01-06,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,CREAM LIQUEURS,e & j gallo winery,80487,tippy cow vanilla soft serve,750.0,11.0,6,99.0,4.5
INV-43541100001,2022-01-05,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,AMERICAN VODKAS,GRAYBEARD DISTILLERY INC,37167,BEDLAM VODKA,750.0,11.0,120,1980.0,90.0
INV-43576700172,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,IMPORTED CORDIALS & LIQUEURS,william grant & sons inc,64876,drambuie liqueur,750.0,23.0,2,69.0,1.5
INV-43579700089,2022-01-06,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,IMPORTED CORDIALS & LIQUEURS,HEAVEN HILL BRANDS,64645,DOMAINE DE CANTON,750.0,17.5,12,315.0,9.0
INV-43826800067,2022-01-17,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,AMERICAN SCHNAPPS,LUXCO INC,82147,ARROW RASPBERRY SCHNAPPS,,5.0,12,90.0,12.0
INV-43487000043,2022-01-03,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POLK,AMERICAN BRANDIES,LUXCO INC,55088,PARAMOUNT BLACKBERRY BRANDY,,11.29,6,101.64,10.5
INV-43778900070,2022-01-13,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,IMPORTED VODKAS,DIAGEO AMERICAS,34457,KETEL ONE,,15.16,12,272.88,12.0
INV-43592500066,2022-01-07,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,DUBUQUE,AMERICAN FLAVORED VODKA,phillips beverage,41694,uv blue raspberry,1000.0,7.5,12,135.0,12.0
INV-43775000100,2022-01-13,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,AMERICAN VODKAS,jdso inc / red boot distillery,36875,blue ox vodka,,7.28,24,262.08,42.0
INV-43495700025,2022-01-03,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,AMERICAN CORDIALS & LIQUEUR,luxco inc,76488,paramount amaretto,1750.0,8.25,6,74.28,10.5
INV-43781500076,2022-01-14,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,LINN,SCOTCH WHISKIES,diageo americas,5318,johnnie walker double black,750.0,24.05,6,216.48,4.5
INV-43818500025,2022-01-14,HY-VEE FOOD STORE #1 / OTTUMWA,1025 NORTH QUINCY AVE,OTTUMWA,52501,WAPELLO,AMERICAN VODKAS,LAIRD & COMPANY,35917,FIVE O'CLOCK VODKA,1000.0,4.17,12,75.12,12.0
INV-43503000003,2022-01-04,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,AMERICAN SCHNAPPS,PHILLIPS BEVERAGE,83363,ICE HOLE BUTTERSCOTCH SCHNAPPS,750.0,5.15,36,278.28,27.0
INV-43775000121,2022-01-13,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,IRISH WHISKIES,william grant & sons inc,15940,tullamore dew,,15.5,4,93.0,3.0
INV-43721400033,2022-01-12,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,POLK,AMERICAN DRY GINS,revelton distilling company,31979,revelton barrel rested gin,750.0,20.0,6,180.0,4.5
INV-43837000071,2022-01-17,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,SCOTT,AMERICAN CORDIALS & LIQUEUR,SAZERAC COMPANY  INC,973627,SOOH DI AMORE QUATTRO ORANGE,1000.0,9.75,6,87.78,6.0
INV-43588500215,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,MIXTO TEQUILA,PROXIMO,87403,JOSE CUERVO ESPECIAL SILVER,,6.0,5,45.0,1.87
INV-43537500008,2022-01-05,HY-VEE FOOD AND DRUG / GRAND / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POLK,COCKTAILS /RTD,PROXIMO,58838,JOSE CUERVO AUTHENTIC LIME MARGARITA,1750.0,8.74,12,157.32,21.0
INV-43725600071,2022-01-12,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,JOHNSON,STRAIGHT BOURBON WHISKIES,jim beam brands,19478,makers mark,1750.0,,2,97.5,3.5
INV-43824000051,2022-01-14,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2323 W BROADWAY,COUNCIL BLUFFS,51501,POTTAWATTA,BLENDED WHISKIES,LAIRD & COMPANY,23827,FIVE STAR,1000.0,4.4,12,79.2,12.0
INV-43587100001,2022-01-06,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POLK,WHISKEY LIQUEUR,sazerac company  inc,86881,southern comfort mini,50.0,5.16,10,77.4,0.5
INV-43744600039,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,STRAIGHT RYE WHISKIES,goamericago beverages llc / whistlepig,27145,whistlepig old world 12yr,750.0,74.99,2,224.98,1.5
INV-43827000046,2022-01-17,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POLK,IMPORTED FLAVORED VODKA,diageo americas,64573,ciroc pineapple,750.0,,12,296.88,9.0
INV-43506400076,2022-01-04,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,MARSHALL,WHISKEY LIQUEUR,sazerac company  inc,64868,fireball cinnamon whiskey,1750.0,15.33,6,138.0,10.5
INV-43590800032,2022-01-06,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,AMERICAN SCHNAPPS,jim beam brands,82847,dekuyper luscious peachtree,1000.0,7.87,12,141.72,12.0
INV-43742700072,2022-01-12,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632,LEE,AMERICAN VODKAS,diageo americas,37993,smirnoff 80prf,200.0,2.54,8,30.48,1.6
INV-43589200133,2022-01-06,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,WOODBURY,100% AGAVE TEQUILA,diageo americas,88833,casamigos anejo,750.0,31.5,6,283.5,4.5
INV-43783600082,2022-01-14,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036,BOONE,AMERICAN FLAVORED VODKA,e & j gallo winery,36618,new amsterdam raspberry,750.0,7.5,3,33.75,2.25
INV-43520700144,2022-01-04,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104,WOODBURY,SINGLE MALT SCOTCH,moet hennessy usa,4096,ardbeg 10yr islay,750.0,31.49,2,94.48,1.5
INV-43721600122,2022-01-12,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,STORY,AMERICAN FLAVORED VODKA,DIAGEO AMERICAS,77698,SMIRNOFF ORANGE,750.0,8.25,12,148.56,9.0
INV-43736800017,2022-01-12,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,LINN,AMERICAN VODKAS,DIAGEO AMERICAS,37993,SMIRNOFF 80PRF,200.0,2.54,10,38.1,2.0
INV-43592600032,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,SPICED RUM,DIAGEO AMERICAS,43285,CAPTAIN MORGAN ORIGINAL SPICED PET,750.0,,12,163.08,9.0
INV-43588500088,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,AMERICAN VODKAS,SAZERAC COMPANY  INC,36978,NIKOLAI VODKA,1750.0,6.92,6,62.28,10.5
INV-43534300025,2022-01-05,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,POLK,IRISH WHISKIES,proximo,15830,proper no. twelve,750.0,14.0,12,252.0,9.0
INV-43786900055,2022-01-14,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,TENNESSEE WHISKIES,BROWN FORMAN CORP.,26827,JACK DANIELS OLD #7 BLACK LABEL,1000.0,19.76,6,177.84,6.0
INV-43592600141,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,100% AGAVE TEQUILA,LUXCO INC,87646,EXOTICO BLANCO,750.0,,3,49.5,2.25
INV-43588400084,2022-01-06,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,CERRO GORD,IMPORTED VODKAS,stoli group,34747,stolichnaya 80prf,1000.0,15.97,1,23.96,1.0
INV-43471100014,2022-01-03,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,TEMPORARY & SPECIALTY PACKAGES,diageo americas,77903,smirnoff peppermint twist,750.0,8.25,12,148.56,9.0
INV-43735400007,2022-01-12,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,STRAIGHT BOURBON WHISKIES,brown forman corp.,20366,old forester bourbon 86prf,750.0,10.92,6,98.28,4.5
INV-43471000051,2022-01-03,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POLK,IMPORTED CORDIALS & LIQUEURS,sazerac company  inc,77786,tuaca perfect chill,750.0,11.44,2,34.32,1.5
INV-43470400047,2022-01-03,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,AMERICAN FLAVORED VODKA,PHILLIPS BEVERAGE,41705,UV RED CHERRY,1000.0,7.5,12,135.0,12.0
INV-43769900065,2022-01-13,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,CERRO GORD,AMERICAN BRANDIES,luxco inc,55087,paramount blackberry brandy,1000.0,6.53,4,39.2,4.0
INV-43844100005,2022-01-17,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,TENNESSEE WHISKIES,brown forman corp.,26827,jack daniels old #7 black label,1000.0,19.76,24,711.36,24.0
INV-43502100094,2022-01-04,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,SCOTT,AMERICAN FLAVORED VODKA,phillips beverage,41707,phillips lime vodka,1000.0,5.78,4,34.68,4.0
INV-43724900011,2022-01-12,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,JOHNSON,AMERICAN SCHNAPPS,JIM BEAM BRANDS,82840,DEKUYPER LUSCIOUS PEACHTREE PET,750.0,6.5,12,117.0,9.0
INV-43580100023,2022-01-06,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322,POLK,100% AGAVE TEQUILA,jim beam brands,88841,hornitos black barrel,,16.0,12,288.0,9.0
INV-43580100068,2022-01-06,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322,POLK,NEUTRAL GRAIN SPIRITS FLAVORED,ole smoky distillery llc,86843,ole smoky salty caramel whiskey,750.0,11.0,6,99.0,4.5
INV-43495700106,2022-01-03,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,BLENDED WHISKIES,diageo americas,27554,seagrams 7 crown dark honey,750.0,7.0,6,63.0,4.5
INV-43724300011,2022-01-12,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,AMERICAN SCHNAPPS,LUXCO INC,81206,PARAMOUNT PEPPERMINT SCHNAPPS,750.0,,12,72.0,9.0
INV-43486500024,2022-01-03,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POLK,AGED DARK RUM,LONELY OAK DISTILLERY,46367,SEVEN PENNY DEUCE RUM,,14.99,2,44.98,1.5
