Invoice/Item Number,Date,Store Name,Address,City,Zip Code,County,Category Name,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,Bottles Sold,Sale,Volume Sold (Liters)
INV-43658200106,2022-01-10,HY-VEE FOOD STORE #1 / CEDAR RAPIDS,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,LINN,IMPORTED VODKAS,CONSTELLATION BRANDS INC,37302,SVEDKA CHERRY LIMEADE VODKA,750.0,8.0,60,720.0,45.0
INV-43639100012,2022-01-10,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POLK,SINGLE MALT SCOTCH,PERNOD RICARD USA,5036,GLENLIVET 12YR,750.0,26.98,12,485.64,9.0
INV-43593200004,2022-01-07,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036,BOONE,CREAM LIQUEURS,sazerac company  inc,80023,buffalo trace bourbon cream,750.0,10.4,1,15.6,0.75
INV-43575800006,2022-01-06,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,AMERICAN VODKAS,diageo americas,37998,smirnoff 80prf,1750.0,14.75,180,3983.4,315.0
INV-43576700099,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,AMERICAN FLAVORED VODKA,e & j gallo winery,40071,new amsterdam mango,750.0,7.5,3,33.75,2.25
INV-43634300008,2022-01-10,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,IMPORTED DRY GINS,jim beam brands,28718,pinnacle gin,1750.0,10.0,12,180.0,21.0
INV-43605400061,2022-01-07,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,DES MOINES,STRAIGHT BOURBON WHISKIES,LUXCO INC,28032,BROWN SUGAR BOURBON,750.0,,6,90.0,4.5
INV-43646300011,2022-01-10,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,SCOTT,STRAIGHT BOURBON WHISKIES,FOUR ROSES DISTILLERY,18348,FOUR ROSES SMALL BATCH,750.0,17.5,6,157.5,4.5
INV-43592500067,2022-01-07,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,DUBUQUE,FLAVORED RUM,pernod ricard usa,42699,malibu mango,750.0,,12,152.88,9.0
INV-43676200015,2022-01-11,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023,POLK,IRISH WHISKIES,sazerac company  inc,15818,paddy old irish whiskey,,10.0,12,180.0,9.0
INV-43616300025,2022-01-07,HY-VEE FOOD STORE #1 / OTTUMWA,1025 NORTH QUINCY AVE,OTTUMWA,52501,WAPELLO,AMERICAN CORDIALS & LIQUEUR,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75221,KINKY GREEN,,,6,90.0,4.5
INV-43584100060,2022-01-06,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,AMERICAN VODKAS,mccormick distilling co.,36887,mccormick 80prf vodka,1000.0,4.13,12,74.4,12.0
INV-43578300127,2022-01-06,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,SCOTCH WHISKIES,DIAGEO AMERICAS,5325,JOHNNIE WALKER BLACK,,,2,34.5,0.75
INV-43681200072,2022-01-11,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,MARSHALL,100% AGAVE TEQUILA,pernod ricard usa,89610,olmeca altos reposado,750.0,,6,134.94,4.5
INV-43597800049,2022-01-07,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,LINN,CANADIAN WHISKIES,heaven hill brands,11788,black velvet,1750.0,,24,376.32,42.0
INV-43545300001,2022-01-05,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,LINN,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,50.0,51.6,3,232.2,0.15
INV-43579600002,2022-01-06,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,IMPORTED BRANDIES,MOET HENNESSY USA,48106,HENNESSY VS,750.0,22.99,12,413.88,9.0
INV-43588500148,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,COCKTAILS /RTD,PROXIMO,58842,JOSE CUERVO AUTHENTIC COCONUT PINEAPPLE MARGARITA,1750.0,8.74,1,13.11,1.75
INV-43671900109,2022-01-10,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,AMERICAN VODKAS,luxco inc,36306,hawkeye vodka,750.0,,12,60.12,9.0
INV-43588500053,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,28275,JIM BEAM PEACH MINI,50.0,7.0,2,21.0,0.1
INV-43631900006,2022-01-10,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,CREAM LIQUEURS,sazerac company  inc,80023,buffalo trace bourbon cream,750.0,10.4,1,15.6,0.75
INV-43662500046,2022-01-10,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,MUSCATINE,AMERICAN FLAVORED VODKA,phillips beverage,41703,uv red cherry mini,50.0,4.6,1,6.9,0.05
INV-43541300036,2022-01-05,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,AMERICAN BRANDIES,LUXCO INC,55088,PARAMOUNT BLACKBERRY BRANDY,,11.29,6,101.64,10.5
